date,new_cases_per_million,total_cases_per_million,total_deaths_per_million,new_vaccinations_smoothed_per_million
2020-11-19,286.94,10640.761999999999,163.062,
2020-11-20,269.658,10910.42,166.118,
2020-11-21,165.56900000000002,11075.988000000001,167.825,
2020-11-22,52.242,11128.23,168.99400000000003,
2020-11-23,172.52700000000002,11300.757,172.58700000000002,
2020-11-24,195.38299999999998,11496.14,177.02700000000002,
2020-11-25,390.134,11886.275,181.53799999999998,
2020-11-26,261.995,12148.27,186.671,
2020-11-27,248.484,12396.755,191.09900000000002,
2020-11-28,165.24599999999998,12562.001,193.128,
2020-11-29,38.158,12600.159,194.62,
2020-11-30,169.734,12769.893,199.25099999999998,
2020-12-01,295.594,13065.486,205.015,
2020-12-02,277.798,13343.284,210.768,
2020-12-03,281.569,13624.854,215.99599999999998,
2020-12-04,190.609,13815.463,221.725,
2020-12-05,311.82599999999996,14127.288999999999,224.852,
2020-12-06,130.216,14257.505,226.642,
2020-12-07,65.12,14322.625,231.954,
2020-12-08,349.267,14671.892,238.733,
2020-12-09,299.449,14971.341,244.2,
2020-12-10,390.695,15362.036,251.40900000000002,
2020-12-11,324.847,15686.883999999998,257.41200000000003,
2020-12-12,260.098,15946.981000000002,261.387,
2020-12-13,175.55900000000003,16122.54,263.845,
2020-12-14,76.99600000000001,16199.536,270.147,
2020-12-15,403.717,16603.253,281.008,
2020-12-16,390.815,16994.067,289.709,
2020-12-17,360.2,17354.268,298.709,
2020-12-18,391.841,17746.109,307.38599999999997,
2020-12-19,258.749,18004.858,312.363,
2020-12-20,76.91199999999999,18081.77,315.096,
2020-12-21,229.829,18311.599,323.57,
2020-12-22,431.50300000000004,18743.102,335.339,
2020-12-23,402.917,19146.019,345.042,
2020-12-24,315.89599999999996,19461.915,350.06699999999995,
2020-12-25,25.541999999999998,19487.457,353.051,
2020-12-26,161.17600000000002,19648.633,357.41900000000004,
2020-12-27,147.988,19796.621,361.60900000000004,
2020-12-28,167.144,19963.765,371.73,221.0
2020-12-29,232.33599999999998,20196.101000000002,385.12199999999996,413.0
2020-12-30,585.363,20781.464,396.615,525.0
2020-12-31,231.15400000000002,21012.618,403.311,543.0
2021-01-01,25.267,21037.885,407.536,479.0
2021-01-02,130.132,21168.017000000003,411.535,503.0
2021-01-03,123.604,21291.621,415.24699999999996,472.0
2021-01-04,147.045,21438.666,426.66900000000004,523.0
2021-01-05,219.00400000000002,21657.67,438.712,528.0
2021-01-06,318.235,21975.905,451.57800000000003,528.0
2021-01-07,541.07,22516.975,465.32800000000003,538.0
2021-01-08,227.69299999999998,22744.667999999998,477.681,613.0
2021-01-09,272.415,23017.083,484.54400000000004,628.0
2021-01-10,11.315,23028.397999999997,488.59,648.0
2021-01-11,139.717,23168.113999999998,498.89,681.0
2021-01-12,324.764,23492.877999999997,511.9,731.0
2021-01-13,305.142,23798.02,526.306,814.0
2021-01-14,254.739,24052.759,539.566,861.0
2021-01-15,102.561,24155.32,545.51,909.0
2021-01-16,176.84799999999998,24332.167999999998,554.569,903.0
2021-01-17,137.067,24469.235,559.785,926.0
2021-01-18,110.439,24579.673,564.106,952.0
2021-01-19,146.006,24725.68,584.802,1012.0
2021-01-20,346.164,25071.843999999997,596.8919999999999,1046.0
2021-01-21,98.79,25170.634,607.229,1088.0
2021-01-22,195.33599999999998,25365.97,617.2180000000001,1109.0
2021-01-23,148.358,25514.327,619.128,1156.0
2021-01-24,120.286,25634.612999999998,624.177,1157.0
2021-01-25,82.2,25716.812,634.095,1172.0
2021-01-26,112.038,25828.851000000002,639.967,1140.0
2021-01-27,186.623,26015.472999999998,650.4590000000001,1104.0
2021-01-28,177.635,26193.109,666.9889999999999,1076.0
2021-01-29,153.144,26346.252999999997,671.799,1085.0
2021-01-30,209.085,26555.338,681.574,1090.0
2021-01-31,8.927999999999999,26564.266,682.2669999999999,1103.0
2021-02-01,79.586,26643.852000000003,692.961,1152.0
2021-02-02,91.78399999999999,26735.635,704.097,1208.0
2021-02-03,149.03799999999998,26884.673,713.454,1291.0
2021-02-04,155.543,27040.216,723.695,1360.0
2021-02-05,129.321,27169.537,731.93,1421.0
2021-02-06,103.027,27272.564,734.64,1441.0
2021-02-07,79.61,27352.173,736.513,1437.0
2021-02-08,55.5,27407.673,742.278,1419.0
2021-02-09,68.366,27476.04,752.0060000000001,1422.0
2021-02-10,110.355,27586.395,759.955,1409.0
2021-02-11,118.495,27704.89,766.543,1425.0
2021-02-12,109.77,27814.661,773.072,1447.0
2021-02-13,77.39,27892.05,775.686,1460.0
2021-02-14,57.744,27949.793999999998,777.082,1479.0
2021-02-15,61.253,28011.047000000002,779.242,1508.0
2021-02-16,70.3,28081.347,785.699,1512.0
2021-02-17,114.557,28195.903,796.477,1508.0
2021-02-18,117.505,28313.408,802.6,1510.0
2021-02-19,108.016,28421.424,808.52,1505.0
2021-02-20,85.48200000000001,28506.905,810.215,1515.0
2021-02-21,72.735,28579.64,810.967,1550.0
2021-02-22,59.486000000000004,28639.127,815.944,1608.0
2021-02-23,68.796,28707.923,820.9810000000001,1660.0
2021-02-24,128.593,28836.515,825.576,1705.0
